                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.0434,                0.99433,                 1.6308,                0.97028,                0.99444,                0.99103,                0.83046,                0.72812,                0.55332,                 1.3955,             0.00048124,             0.00048124,             0.00048124
                    133,                 1.0071,                0.93883,                 1.6283,                0.98649,                0.98791,                0.99133,                0.83789,                0.73803,                 0.5411,                 1.4045,             0.00047728,             0.00047728,             0.00047728
                    134,                 1.0069,                0.95192,                 1.6149,                0.99371,                0.98436,                 0.9915,                 0.8276,                0.74703,                0.53907,                  1.407,             0.00047332,             0.00047332,             0.00047332
                    135,                0.93325,                0.84045,                 1.5598,                0.99224,                0.99326,                 0.9915,                0.83341,                0.75031,                0.50595,                 1.4006,             0.00046936,             0.00046936,             0.00046936
                    136,                0.98291,                0.85902,                 1.6171,                0.98725,                0.99198,                0.99181,                0.81944,                0.74867,                0.52677,                 1.3839,              0.0004654,              0.0004654,              0.0004654
                    137,                 1.0251,                0.92231,                 1.6125,                0.99581,                0.98792,                0.99195,                0.82271,                0.73705,                0.50861,                 1.3875,             0.00046144,             0.00046144,             0.00046144
                    138,                 1.0418,                0.91005,                  1.634,                0.99761,                0.99041,                0.99111,                0.80579,                0.79416,                0.52177,                 1.4677,             0.00045748,             0.00045748,             0.00045748
                    139,                 1.1759,                 1.2208,                 1.6872,                0.99203,                0.99099,                0.99357,                0.82372,                0.75415,                0.54121,                 1.4127,             0.00045352,             0.00045352,             0.00045352
                    140,                0.98116,                0.88194,                 1.6009,                 0.9866,                0.99086,                0.99179,                 0.8445,                0.71352,                0.53048,                 1.3714,             0.00044956,             0.00044956,             0.00044956
                    141,                 1.0294,                0.94317,                 1.6505,                0.98682,                0.99177,                0.99207,                0.83238,                0.73774,                0.51378,                 1.3752,              0.0004456,              0.0004456,              0.0004456
                    142,                 1.0089,                0.91083,                  1.632,                0.97997,                0.99444,                0.99195,                0.83164,                0.72063,                0.50582,                 1.3743,             0.00044164,             0.00044164,             0.00044164
                    143,                 1.0432,                0.91921,                 1.6545,                0.99093,                0.99077,                0.99132,                0.83373,                0.70654,                0.50658,                 1.3722,             0.00043768,             0.00043768,             0.00043768
                    144,                 1.0232,                   0.93,                 1.6228,                0.98799,                0.99075,                0.99238,                0.83325,                0.71725,                 0.4895,                 1.4008,             0.00043372,             0.00043372,             0.00043372
                    145,                 1.0219,                0.96958,                 1.5945,                 0.9852,                0.99444,                0.99259,                0.80468,                0.80152,                0.52212,                  1.444,             0.00042976,             0.00042976,             0.00042976
